1101;Hungary
1102;Belarus
1103;Austria
1104;Serbia
1105;Switzerland
1106;Germany
1107;Holy See
1108;Andorra
1109;Bulgaria
1010;United Kingdom
1011;France
1112;Montenegro
1113;Luxembourg
1214;Italy
1515;Denmark
1116;Finland
1117;Slovakia
1118;Norway
1119;EIRE
1119;Ireland
1220;Spain
1121;Malta
1122;Ukraine
1123;Croatia
1124;Moldova
1125;Monaco
1126;Liechtenstein
1127;Poland
1128;Iceland
1129;San Marino
1130;Bosnia and Herzegovina
1131;Albania
1132;Lithuania
1133;North Macedonia
1134;Slovenia
1135;Romania
1136;Latvia
1037;Netherlands
1338;Russia
1139;Estonia
1140;Belgium
1141;Czech Republic
1142;Greece
1243;Portugal
1144;Sweden
1144;Channel Islands
1145;European Community
2201;Djibouti
2202;Seychelles
2203;DR Congo
2204;Comoros
2205;Togo
2206;Sierra Leone
2207;Libya
2208;Tanzania
2209;South Africa
2210;Cabo Verde
2211;Congo
2212;Kenya
2213;Liberia
2214;RSA
2215;Mauritania
2216;Uganda
2217;Algeria
2218;Sudan
2219;Morocco
2220;Eritrea
2221;Angola
2222;Mozambique
2223;Ghana
2224;Madagascar
2225;Cameroon
2226;Côte d'Ivoire
2227;Namibia
2228;Niger
2229;Gambia
2230;Botswana
2231;Gabon
2232;Sao Tome & Principe
2233;Lesotho
2234;Burkina Faso
2235;Nigeria
2236;Mali
2237;Guinea-Bissau
2238;Malawi
2239;Zambia
2240;Senegal
2241;Chad
2242;Somalia
2243;Zimbabwe
2244;Equatorial Guinea
2245;Guinea
2246;Rwanda
2247;Mauritius
2248;Benin
2249;Burundi
2250;Tunisia
2251;Eswatini
2252;Ethiopia
2253;South Sudan
2354;Egypt
3301;United Arab Emirates
3302;Vietnam
3303;Tajikistan
2304;Israel
1305;Turkey
3306;Iran
3307;Bhutan
3308;Laos
3309;Thailand
3310;Lebanon
3311;Kyrgyzstan
3312;Turkmenistan
3313;Singapore
3314;Myanmar
3315;Maldives
3316;South Korea
3317;Oman
3318;State of Palestine
3319;Brunei
3320;Kuwait
3321;Iraq
1322;Georgia
3323;Afghanistan
3324;Saudi Arabia
3325;Uzbekistan
3326;Mongolia
3327;Malaysia
2328;Yemen
3329;Armenia
3330;Nepal
3331;Qatar
3432;Indonesia
3333;North Korea
3334;Pakistan
3335;Sri Lanka
1336;Kazakhstan
3337;Syria
3338;Bahrain
3339;Cambodia
3340;Bangladesh
3341;China
3342;Timor-Leste
3443;Japan
3344;Cyprus
3345;Philippines
3346;Jordan
1347;Azerbaijan
3348;India
3349;Hong Kong
4401;Fiji
4402;Papua New Guinea
4403;Solomon Islands
4404;Marshall Islands
4405;Micronesia
4406;New Zealand
4407;Vanuatu
3408;Australia
4409;Samoa
4410;Palau
4411;Kiribati
4412;Tuvalu
4413;Nauru
4414;Tonga
5501;Canada
5002;USA
6601;Honduras
6602;Antigua and Barbuda
6603;Guyana
6604;Dominica
6605;Paraguay
6606;Nicaragua
6607;El Salvador
6608;Suriname
6609;Saint Kitts & Nevis
6610;Costa Rica
5611;Colombia
6612;Argentina
5613;Panama
6614;Belize
6615;Bahamas
6616;Uruguay
6617;Peru
6618;Jamaica
6619;Barbados
5620;Venezuela
6621;Brazil
4622;Chile
6623;Saint Lucia
6624;Guatemala
4625;Ecuador
5626;Trinidad and Tobago
6627;Mexico
6628;Bolivia
6629;Haiti
6630;Cuba
6631;Grenada
6632;St. Vincent & Grenadines
6633;Dominican Republic
0000;Unspecified
